wine_type,country,grape,year,wine_rating,rating_count,price,light_bold,smooth_tannic,dry_sweet,soft_acidic,taste_count,wine_age,geo_region
Red,France,Shiraz/Syrah,2018,4.4,75,91.25,74.8127,50.7447,7.74985,54.9545,832,3,W Europe
Red,Italy,Nebbiolo,2016,4.1,237,112,59.0418,72.8836,6.14579,75.1052,202,5,S Europe
White,South Africa,Sauvignon Blanc,2020,4,404,45,35.1987,47.91798617,1.91687,66.7578,1025,1,Africa
White,Australia,Blend,2019,3.9,1827,18.95,57.64164538,47.91798617,10.98216313,55.38421874,86,2,Oceania
White,Spain,Verdejo,2020,4,165,11.06,21.9498,47.91798617,27.0136,50.9302,92,1,S Europe
Red,Australia,Shiraz/Syrah,2017,3.8,924,37,80.897,46.7577,15.6816,46.2326,810,4,Oceania
Red,Italy,Blend,2016,4.2,58,54,49.1962,33.1156,1.58065,44.3199,57,5,S Europe
Red,Italy,Nebbiolo,2015,3.6,39,73.85,60.783,74.8637,0,83.1537,43,6,S Europe
White,Italy,Pinot Grigio,2019,3.9,49,40.98,41.4081,47.91798617,14.6116,41.3399,48,2,S Europe
White,New Zealand,Chardonnay,2017,4,60,69,55.7335,47.91798617,5.17063,57.1187,1082,4,Oceania
White,France,Gewürztraminer,2011,4.1,182,119.99,64.0637,47.91798617,41.983,27.7908,194,10,W Europe
Red,France,Carignan,2019,3.8,100,50,59.619,51.0655,8.19495,56.3695,113,2,W Europe
Red,Spain,Carignan,2014,3.8,26,41.29,67.1835,53.2848,10.0316,53.788,11,7,S Europe
Red,France,Merlot,2011,4.1,379,60.08,73.8336,50.8033,10.5132,48.5685,925,10,W Europe
Red,Italy,Montepulciano,2018,3.8,6362,55,34.0082,39.489,2.95824,64.4616,8817,3,S Europe
Red,Australia,Pinot Noir,2017,4.4,32,105,42.7256,13.5699,7.24977,54.2982,141,4,Oceania
Red,Italy,Shiraz/Syrah,2017,3.8,159,42,73.2645,44.7881,25.296,31.7294,117,4,S Europe
White,France,Blend,2019,4,28,83,51.3811,47.91798617,1.04034,45.3581,75,2,W Europe
Red,Australia,Shiraz/Syrah,2019,4.4,44,110,68.9455,39.058,16.0542,54.8101,1335,2,Oceania
Red,France,Shiraz/Syrah,2019,4,196,65,64.4605,48.5306,10.5105,54.1114,228,2,W Europe
Red,France,Merlot,2017,4.1,218,104,62.9934,63.8162,4.88386,71.801,1474,4,W Europe
Red,Italy,Teroldego,2013,3.9,258,69.6,59.7078,44.071,15.5189,38.8093,358,8,S Europe
White,Italy,Blend,2018,3.6,110,53.5,51.669,47.91798617,16.8609,55.8164,66,3,S Europe
Red,France,Shiraz/Syrah,2018,3.9,647,49.8,65.4529,49.804,5.74692,46.5679,862,3,W Europe
Red,Chile,Blend,2018,4,483,51.99,72.8971,51.2725,9.6829,43.9639,485,3,S America
White,Italy,Blend,2020,4.1,123,49,49.1684,47.91798617,36.7787,61.1426,374,1,S Europe
Red,France,Merlot,2014,3.6,149,49.08,65.2067,58.221,3.26866,64.562,487,7,W Europe
White,Spain,Viura,2018,4,48,30,74.7709,47.91798617,16.6699,50.1776,467,3,S Europe
Red,France,Blend,2010,4,35,73.83,65.0765,54.7286,13.9656,58.916,94,11,W Europe
Red,Italy,Sangiovese,2016,4.1,49,74.22,43.5681,58.2018,9.09678,63.7986,190,5,S Europe
Red,Italy,Nebbiolo,2018,4.2,79,76.33,61.7598,70.9409,3.4631,85,7178,3,S Europe
Red,Italy,Blend,2013,3.8,408,64,76.4037,47.0389,24.5938,36.0515,227,8,S Europe
Red,Portugal,Blend,2017,4.1,1226,47,64.2618,41.9141,16.8358,38.7876,1045,4,S Europe
White,France,Blend,2019,3.7,31,41.75,25.3618,47.91798617,35.055,55.2349,138,2,W Europe
Red,Italy,Montepulciano,2017,4.1,144,65,47.1002,46.6405,17.9284,61.2358,203,4,S Europe
Red,Spain,Tempranillo,2018,4.1,211,32.32,65.3812,55.5609,13.1232,59.8094,2266,3,S Europe
Red,France,Blend,2018,4,36,95.67,73.0239,52.0764,3.94047,49.6901,1071,3,W Europe
Red,France,Blend,2016,4.1,168,69.67,69.8395,54.1425,6.88922,53.8636,717,5,W Europe
Red,Italy,Blend,2017,3.9,3834,50,46.8293,39.3616,6.55198,45.7927,1862,4,S Europe
Red,Italy,Nero d'Avola,2016,3.6,126,44,40.8091,40.3831,0.22673,47.2077,77,5,S Europe
Red,France,Shiraz/Syrah,2019,3.9,432,43,57.64164538,47.91798617,10.98216313,55.38421874,337,2,W Europe
Red,New Zealand,Pinot Noir,2017,4.1,179,108,31.4503,29.2974,10.9701,61.8606,395,4,Oceania
Red,Italy,Sangiovese,2015,4,108,54.5,48.8295,54.1055,7.74077,56.8764,86,6,S Europe
White,Italy,Blend,2011,4,38,77.04,46.9063,47.91798617,29.8466,61.1526,190,10,S Europe
White,France,Chardonnay,2015,4,100,112.67,38.5156,47.91798617,2.49735,68.4934,466,6,W Europe
Red,Spain,Blend,2014,3.7,84,55,62.6716,59.2674,2.0744,61.2095,1167,7,S Europe
Red,France,Blend,2018,3.8,220,47.83,62.0664,54.3013,9.03358,63.9701,140,3,W Europe
White,New Zealand,Sauvignon Blanc,2011,3.7,30,41.95,33.0318,47.91798617,4.11897,74.7149,165,10,Oceania
White,Italy,Malvasia,2018,3.8,51,69,58.8793,47.91798617,20.8884,50.0859,126,3,S Europe
Red,Australia,Cabernet Sauvignon,2010,4.1,36,108.58,69.9879,57.0022,2.47737,53.1843,72,11,Oceania
Red,South Africa,Blend,2016,4.3,552,72,65.7542,51.2861,8.18984,59.6202,1233,5,Africa
Red,France,Blend,2018,4,50,53.33,74.1763,74.9864,11.3948,72.7178,371,3,W Europe
White,Italy,Vermentino,2020,4,88,77,62.1534,47.91798617,24.1933,52.9134,408,1,S Europe
Red,France,Blend,2009,4,581,68,66.9023,57.687,12.3656,61.9078,1800,12,W Europe
Red,Italy,Nebbiolo,2015,4.1,294,114,63.6557,74.7091,11.1227,78.4281,367,6,S Europe
Red,France,Shiraz/Syrah,2018,3.8,229,50.25,72.9267,48.2259,10.9142,53.209,537,3,W Europe
Red,Australia,Shiraz/Syrah,2016,4.3,91,95,82.876,48.4526,23.1608,44.2805,875,5,Oceania
Red,France,Shiraz/Syrah,2017,4.3,169,65.5,69.2912,63.9363,4.89225,65.9852,406,4,W Europe
Red,France,Blend,2016,3.9,37,38,72.2426,51.4539,10.5164,50.2545,20,5,W Europe
White,Germany,Riesling,2017,4.2,269,82.12,47.5772,47.91798617,15.82,79.4647,324,4,W Europe
White,France,Chenin Blanc,2020,3.7,32,20.11,22.0116,47.91798617,6.32231,85,149,1,W Europe
Red,Spain,Blend,2014,3.7,871,29.5,61.1099,45.0746,17.7137,47.2956,330,7,S Europe
Red,France,Blend,2016,4,80,67,79.2045,79.75,0,79.3807,18,5,W Europe
Red,Spain,Blend,2017,3.7,328,22.81,64.5327,45.4509,13.3494,47.5693,283,4,S Europe
Red,Chile,Carménère,2015,3.8,2246,61.69,73.236,32.2979,8.04785,43.2737,2038,6,S America
White,Germany,Riesling,2013,4,40,118,34.9067,47.91798617,0.296657,85,28,8,W Europe
Red,Italy,Sangiovese,2015,4,736,100.99,48.5019,60.6074,7.84582,64.5752,717,6,S Europe
Red,France,Malbec,2015,3.7,94,44.85,64.3727,38.8078,3.43983,51.2271,139,6,W Europe
Red,France,Blend,2009,3.9,424,72,71.3968,55.6002,7.62376,52.7315,483,12,W Europe
Red,Austria,Pinot Noir,2018,3.8,234,48,19.9521,21.5389,2.79343,77.3187,255,3,C/E Europe
White,Italy,Vermentino,2020,3.7,104,55,60.4277,47.91798617,6.0739,35.3402,291,1,S Europe
White,Chile,Sauvignon Blanc,2020,3.6,676,25.07,38.4141,47.91798617,4.98186,63.6166,386,1,S America
Red,France,Pinot Noir,2017,3.9,40,86.58,36.3562,30.6868,3.30499,66.6001,53,4,W Europe
Red,Italy,Sangiovese,2017,4.1,591,65.33,47.7685,54.9459,6.20456,62.7025,1295,4,S Europe
White,Germany,Riesling,2011,4.2,151,78.2,50.8829,47.91798617,12.4089,79.237,280,10,W Europe
Red,France,Blend,2014,3.9,307,93,64.3212,64.2949,8.81885,68.1682,961,7,W Europe
Red,New Zealand,Merlot,2019,3.8,38,29.79,63.1387,55.2802,6.30541,63.3153,1450,2,Oceania
Red,Italy,Barbera,2008,4.2,34,111,60.4596,25.19,14.9336,60.8637,62,13,S Europe
White,France,Chenin Blanc,2019,3.7,118,20.11,22.0116,47.91798617,6.32231,85,149,2,W Europe
Red,France,Merlot,2012,3.9,142,88,74.6454,58.2318,10.9007,52.5968,643,9,W Europe
Red,Spain,Monastrell,2019,4.5,98,114,71.0818,40.077,17.7917,41.7742,4456,2,S Europe
White,United States,Chardonnay,2014,3.7,1383,78,85,47.91798617,24.0499,39.4838,2151,7,N America
White,Austria,Grüner Veltliner,2019,3.9,588,39,19.5306,47.91798617,2.87739,68.3361,1320,2,C/E Europe
Red,France,Blend,2016,4.1,117,65.5,69.8157,56.7852,0.956105,53.1347,214,5,W Europe
Red,France,Blend,2013,4,25,48.37,74.6387,69.6864,11.6212,62.0844,65,8,W Europe
Red,France,Blend,2015,4.1,112,44.8,70.2841,51.6268,5.9109,51.1803,176,6,W Europe
White,Portugal,Blend,2016,3.7,37,58,50.9866,47.91798617,7.13925,58.6789,68,5,S Europe
Red,Italy,Dolcetto,2019,3.7,65,27.84,62.8303,45.8017,18.142,34.103,151,2,S Europe
Red,Australia,Grenache,2008,4.1,59,118,57.64164538,47.91798617,10.98216313,55.38421874,146,13,Oceania
Red,Italy,Sangiovese,2018,3.8,193,59,47.4386,43.0223,6.94197,50.7198,255,3,S Europe
Red,Italy,Montepulciano,2017,4.1,1104,81,42.3933,45.0749,6.54104,65.5024,2340,4,S Europe
White,Italy,Pinot Blanc,2018,3.8,40,67,42.0447,47.91798617,1.55915,57.6413,98,3,S Europe
Red,France,Sauvignon Blanc,2018,4,62,62,32.3692,32.8666,0,73.8628,77,3,W Europe
Red,France,Shiraz/Syrah,2018,4.5,31,60.32,84.3586,68.2861,5.18998,54.4601,1913,3,W Europe
Red,France,Blend,2006,4.2,1091,58.75,71.0223,74.426,7.94381,74.2689,5186,15,W Europe
White,Italy,Blend,2017,4.2,883,99,44.9249,47.91798617,24.55,66.7212,931,4,S Europe
Red,Italy,Carignan,2016,3.5,137,50.26,75.8539,35.8753,23.935,24.0395,28,5,S Europe
Red,France,Blend,2014,4.2,29,78.17,66.6269,63.8657,8.08597,64.6004,37,7,W Europe
Red,France,Pinot Noir,2019,4.1,48,29.38,33.0011,25.5905,11.3607,63.2962,621,2,W Europe
Red,Italy,Sangiovese,2016,4.3,349,78,57.64164538,47.91798617,10.98216313,55.38421874,766.0365691,5,S Europe
White,United States,Chardonnay,2013,4.3,54,56.88,85,47.91798617,31.2435,53.1167,450,8,N America
Red,Australia,Shiraz/Syrah,2018,3.9,39,61.74,85,48.2406,23.8574,44.9469,342,3,Oceania
Red,Italy,Blend,2016,4.3,33,89.99,60.1785,47.5261,4.95054,48.2313,23,5,S Europe
Red,Italy,Blend,2015,3.8,39,102,85,34.8227,50.9979,22.9501,41,6,S Europe
Red,Australia,Shiraz/Syrah,2014,4.2,198,117.99,84.5731,49.7177,15.8729,43.453,68,7,Oceania
Red,France,Blend,2010,3.8,1546,49.8,72.042,67.2929,7.0546,65.1339,1043,11,W Europe
White,Spain,Xarel-lo,2020,3.6,29,10.75,57.64164538,47.91798617,10.98216313,55.38421874,51,1,S Europe
Red,Argentina,Cabernet Sauvignon,2019,4.2,183,75,57.64164538,47.91798617,10.98216313,55.38421874,910,2,S America
Red,Australia,Nebbiolo,2018,4,51,32,57.64164538,47.91798617,10.98216313,55.38421874,163,3,Oceania
White,Argentina,Chardonnay,2017,4.2,1256,88.94,56.0785,47.91798617,19.1422,37.71,3718,4,S America
White,France,Chardonnay,2013,4.1,40,72.67,60.277,47.91798617,3.65442,49.1358,317,8,W Europe
Red,Italy,Nebbiolo,2015,4.2,99,105.33,54.2519,74.7381,4.48465,75.3756,72,6,S Europe
Red,Spain,Tempranillo,2018,4.3,45,51.42,65.5901,54.9762,18.1518,60.7372,271,3,S Europe
Red,Italy,Nebbiolo,2016,3.8,517,59.33,58.5748,79.3412,0.841008,84.3985,351,5,S Europe
White,New Zealand,Chardonnay,2016,3.8,48,35.38,53.4683,47.91798617,10.4205,52.5938,150,5,Oceania
Red,Italy,Corvina,2019,3.9,174,50.99,64.8295,33.9229,27.1261,25.0088,816,2,S Europe
Red,Spain,Tempranillo,2018,4.5,103,99,68.9927,64.958,11.4749,56.273,441,3,S Europe
Red,France,Shiraz/Syrah,2011,4,73,68.42,85,49.7249,1.45578,56.1269,211,10,W Europe
Red,United States,Cabernet Sauvignon,2016,3.9,876,67.41,85,53.5172,5.66237,43.3016,1304,5,N America
Red,Italy,Blend,2016,3.8,286,48,45.4169,33.2115,13.3158,55.2151,282,5,S Europe
Red,Italy,Nebbiolo,2011,3.8,712,78.99,57.693,66.9612,2.64185,84.8712,1753,10,S Europe
Red,Italy,Nebbiolo,2016,3.7,111,72,56.3797,77.3515,1.88465,84.0647,150,5,S Europe
Red,New Zealand,Unspecified,2016,3.9,58,50.28,28.5349,26.1853,8.4593,60.6882,43,5,Oceania
Red,Italy,Merlot,2002,3.7,37,82.91,80.5729,41.5828,26.3069,30.3083,505,19,S Europe
Red,France,Blend,2014,4.2,187,68.05,84.8608,41.7186,5.67726,44.2553,1267,7,W Europe
Red,Spain,Mencia,2008,3.8,98,30.7,57.0463,42.2648,2.36902,49.6411,156,13,S Europe
White,France,Chardonnay,2011,4,64,92.67,64.8916,47.91798617,7.71122,49.9979,251,10,W Europe
Red,Spain,Garnacha,2018,3.9,1141,57,57.8988,55.7237,10.9591,58.3211,3484,3,S Europe
Red,France,Blend,2011,3.5,333,61.69,68.1437,56.9459,13.4549,52.9543,38,10,W Europe
Red,France,Merlot,2006,4,345,74.16,73.8336,50.8033,10.5132,48.5685,925,15,W Europe
Red,New Zealand,Pinot Noir,2018,4.1,179,59,26.523,21.6061,10.3329,62.3755,1591,3,Oceania
White,Italy,Chardonnay,2016,4.1,283,81,63.8757,47.91798617,25.3031,50.3136,600,5,S Europe
Red,Italy,Merlot,2013,4.2,672,85,55.3435,45.2368,13.0878,45.6604,1360,8,S Europe
Red,France,Blend,2019,3.6,25,49.9,75.9041,80.7243,6.95852,76.035,1167,2,W Europe
Red,France,Gamay,2018,4.1,2205,91.63,2.25465,11.9784,8.07137,83.3629,3266,3,W Europe
Red,Spain,Tempranillo,2018,3.5,634,45.99,57.1935,63.413,6.25549,61.3256,558,3,S Europe
Red,Italy,Albarossa,2015,4.1,58,56,68.2693,36.2313,19.4283,22.1415,46,6,S Europe
Red,France,Blend,2014,4,573,80,75.3493,75.3257,7.23743,72.6101,2960,7,W Europe
Red,France,Shiraz/Syrah,2018,4.1,52,78.17,69.6344,69.1281,1.48849,63.7495,75,3,W Europe
Red,Spain,Tempranillo,2005,4.1,425,100.22,64.2181,61.9424,12.3254,60.1495,3130,16,S Europe
Red,France,Pinot Noir,2013,3.9,125,33.51,37.7882,28.9474,3.51542,73.1753,84,8,W Europe
